2021-04-07 13:11:49,226 INFO    MainThread:23500 [wandb_setup.py:_flush():69] setting env: {}
2021-04-07 13:11:49,227 INFO    MainThread:23500 [wandb_setup.py:_flush():69] setting login settings: {}
2021-04-07 13:11:49,227 INFO    MainThread:23500 [wandb_init.py:_log_setup():336] Logging user logs to G:\ntaka\workspace\jobcan_autotool\code_recongphoto\newyolo\wandb\run-20210407_131149-266fnssn\logs\debug.log
2021-04-07 13:11:49,227 INFO    MainThread:23500 [wandb_init.py:_log_setup():337] Logging internal logs to G:\ntaka\workspace\jobcan_autotool\code_recongphoto\newyolo\wandb\run-20210407_131149-266fnssn\logs\debug-internal.log
2021-04-07 13:11:49,227 INFO    MainThread:23500 [wandb_init.py:init():369] calling init triggers
2021-04-07 13:11:49,228 INFO    MainThread:23500 [wandb_init.py:init():374] wandb.init called with sweep_config: {}
config: {'weights': 'yolov5s.pt', 'cfg': '', 'data': '.\\yolov5-master\\data\\coco128.yaml', 'hyp': {'lr0': 0.01, 'lrf': 0.2, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0}, 'epochs': 6000, 'batch_size': 16, 'img_size': [640, 640], 'rect': False, 'resume': False, 'nosave': False, 'notest': False, 'noautoanchor': False, 'evolve': False, 'bucket': '', 'cache_images': False, 'image_weights': False, 'device': '0', 'multi_scale': False, 'single_cls': False, 'adam': False, 'sync_bn': False, 'local_rank': -1, 'workers': 2, 'project': 'runs/train', 'entity': None, 'name': 'exp', 'exist_ok': False, 'quad': False, 'linear_lr': False, 'label_smoothing': 0.0, 'upload_dataset': False, 'bbox_interval': -1, 'save_period': -1, 'artifact_alias': 'latest', 'world_size': 1, 'global_rank': -1, 'save_dir': 'runs\\train\\exp18', 'total_batch_size': 16}
2021-04-07 13:11:49,228 INFO    MainThread:23500 [wandb_init.py:init():418] starting backend
2021-04-07 13:11:49,228 INFO    MainThread:23500 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn, using: spawn
2021-04-07 13:11:49,240 INFO    MainThread:23500 [backend.py:ensure_launched():123] starting backend process...
2021-04-07 13:11:49,961 INFO    MainThread:23500 [backend.py:ensure_launched():127] started backend process with pid: 7780
2021-04-07 13:11:49,964 INFO    MainThread:23500 [wandb_init.py:init():423] backend started and connected
2021-04-07 13:11:49,967 INFO    MainThread:23500 [wandb_init.py:init():463] updated telemetry
2021-04-07 13:11:49,969 INFO    MainThread:23500 [wandb_init.py:init():482] communicating current version
2021-04-07 13:11:51,185 INFO    MainThread:23500 [wandb_init.py:init():487] got version response 
2021-04-07 13:11:51,185 INFO    MainThread:23500 [wandb_init.py:init():495] communicating run to backend with 30 second timeout
